,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES – use \n for newline,max length
perk_extra_wand_slot,Extra wand slot,Ячейка для дополнительного жезла,Espaço extra de varinha,Ranura adicional de varita,Zusätzlicher Zauberstab-Slot,Emplacement de baguette supplémentaire,额外魔杖槽,追加の杖スロット,추가 완드 슬롯,,,,
perkdesc_extra_wand_slot,You gain a slot for one extra wand.,Вы получаете ячейку для дополнительного жезла.,Você ganha um espaço extra para varinha.,Ganas una ranura adicional para una varita.,Du erhältst einen Slot für einen zusätzlichen Zauberstab.,Vous gagnez un emplacement pour une baguette supplémentaire.,获得一个槽，可额外持有一支魔杖。,追加の杖スロットを1つ獲得する。,추가 완드 슬롯을 획득합니다.,,,,
perk_extra_potion_slot,Extra item slot,Ячейка для дополнительного предмета,Espaço extra de item,Ranura adicional de objeto,Zusätzlicher Gegenstand-Slot,Emplacement d'objet supplémentaire,额外物品槽,追加のアイテムスロット,추가 아이템 슬롯,,,,
perkdesc_extra_potion_slot,You gain a slot for one extra item.,Вы получаете ячейку для дополнительного предмета.,Você ganha um espaço extra para item.,Ganas una ranura adicional para un objeto.,Du erhältst einen Slot für einen zusätzlichen Gegenstand.,Vous gagnez un emplacement pour un objet supplémentaire.,获得一个槽，可额外持有一件物品。,追加のアイテムスロットを1つ獲得する。,추가 아이템 슬롯을 획득합니다.,,,,
perk_extra_action_storage,Extra spell storage,Дополнительное место для заклинаний,Armazenamento extra de feitiços,Almacenamiento de hechizos adicional,Zusätzlicher Zauberplatz,Rangement de sort supplémentaire,额外法术空间,追加の呪文容量,추가 주문 저장소,,,,
perkdesc_extra_action_storage,You gain more room for spells,Вы получаете больше места для заклинаний.,Você ganha mais espaço para feitiços.,Ganas más espacio para hechizos,Du erhältst mehr Platz für Zauber,Vous obtenez plus de place pour les sorts.,获得额外的空间，可容纳更多法术。,呪文のスペースが更に増える。,주문을 위한 추가 공간을 획득합니다.,,,,
perk_persuasion,Persuasion,Убеждение,Persuasão,Persuasión,Überzeugung,Persuasion,说服,説得力,설득,,,,
perkdesc_persuasion,Enemies with low HP may start fighting for you.,Враги с низкими ОЗ могут начать сражаться за вас.,Inimigos com pouco PV podem começar a lutar por você.,Los enemigos con pocos PS pueden empezar a luchar para ti.,"Feinde mit geringen LP fangen manchmal an, für dich zu kämpfen.",Les ennemis avec peu de PV peuvent commencer à combattre pour vous.,生命值较低的敌人可能站在你这边战斗。,低いHPの敵があなたの味方になって戦い始める可能性がある。,체력이 낮은 적이 아군이 될 가능성이 생깁니다.,,,,
perk_permanent_flying,Permanent flying,Постоянный полет,Voo permanente,Vuelo permanente,Dauerhaftes Fliegen,Vol permanent,永久飞行,永久飛行,영구 비행,,,,
perkdesc_permanent_flying,"You can fly permanently, but standing on the ground deals you damage over time.","Вы можете постоянно летать, но получаете урон, стоя на земле.","Voe permanentemente, porém ficar no chão faz você perder saúde com o tempo.","Puedes volar indefinidamente, pero tocar el suelo te hace daño constante.","Du kannst dauerhaft fliegen, aber wenn du auf dem Boden stehst, wird dir Schaden über Zeit zugefügt.","Vous pouvez voler en permanence, mais poser les pieds sur le sol vous inflige des dégâts continus.",你可以永久飞行，但站在地面会受到持续伤害。,永久に飛べるようになるが、地面に立っていると経過ダメージを受ける。,"영구적으로 비행할 수 있지만, 지상에 서 있을 때에는 시간에 따른 대미지를 받습니다.",,,,
perk_melt,Melting corpses,Тающие трупы,Derretendo cadáveres,Cadáveres derretidos,Schmelzende Leichen,Corps fondants,融尸,溶ける死体,시체 녹이기,,,,
perkdesc_melt,The corpses of your enemies melt into slime.,Трупы врагов превращаются в слизь.,Os cadáveres dos inimigos derretem e viram gosma.,Los cadáveres de los enemigos se convierten en limo.,Die Leichen deiner Feinde schmelzen zu Schleim.,Les corps de vos ennemis fondent en gelée.,你敌人的尸体会化为粘液。,敵の死体がスライムになる。,적의 시체를 녹여 슬라임으로 만듭니다.,,,,
perk_extra_perk,Extra perk,Дополнительный бонус,Vantagem extra,Ventaja adicional,Zusätzlicher Bonus,Avantage supplémentaire,额外特性,追加特典,추가 능력,,,,
perkdesc_extra_perk,Every temple from now on spawns an additional perk to choose from.,Каждый храм отныне дает дополнительный бонус на выбор.,"De agora em diante, todo templo faz surgir uma vantagem adicional para escolha.","Desde ahora, cada templo genera una ventaja adicional para elegir.","Jeder Tempel verteilt ab jetzt einen zusätzlichen Bonus, den du auswählen kannst",Chaque temple fait maintenant apparaître un avantage supplémentaire à choisir.,从现在开始，每座神殿都会产生一个额外特性以供选择。,これ以降の神殿が、追加の特典を出現させる。,모든 사원에서 이제 선택 가능한 추가 능력이 등장합니다.,,,,
perk_double_cast,Double cast,Двойное колдунство,Lançamento duplo,Lanzamiento doble,Doppelbeschwörung,Double lancer,二重施放,ダブル詠唱,이중 시전,,,,
perkdesc_double_cast,All your wands cast one extra spell when used.,Все жезлы при использовании накладывают дополнительное заклинание.,Todas as suas varinhas lançam um feitiço extra ao usá-las.,Todas tus varitas lanzan un hechizo adicional cuando se usan.,"Alle deine Zauberstäbe wirken einen zusätzlichen Zauber, wenn sie verwendet werden.",Toutes vos baguettes lancent un sort supplémentaire quand vous les utilisez.,你的所有魔杖在使用时都会额外施放一个法术。,あなたの杖全てが、使用時に追加で1つの呪文をかける。,모든 완드가 사용 시 추가 주문을 시전합니다.,,,,
perk_ability_actions_materialized,Bombs materialized,Бомбы материализовались,Bombas materializadas,Bombas tangibles,Bomben materialisieren,Bombes matérialisées,炸弹物质化,爆弾の具体化,폭탄 등장,,,,
perkdesc_ability_actions_materialized,Bomb-like spells can be placed in the ITEMS space in inventory and thrown without a wand,"Бомбоподобные заклинания можно помещать в раздел ПРЕДМЕТЫ инвентаря, а затем бросать их без жезла.",Feitiços do tipo bomba podem ser colocados no espaço ITENS do inventário e lançados sem uma varinha.,Los hechizos de bomba pueden colocarse en el inventario como OBJETOS y lanzarse sin varita.,Bomben-Zauber können unter dem Reiter GEGENSTÄNDE ins Inventar gelegt und ohne einen Zauberstab geworfen werden.,Des sorts de type bombe peuvent être placés dans l'espace OBJETS de l'inventaire et lancés sans baguette.,类似炸弹的法术可放置于物品栏的物品空间，不需要魔杖便可以投掷。,爆弾のような呪文を所持品のアイテムスペースに置くことができ、杖無しで投げることができる。,인벤토리의 빈 공간에 폭탄 같은 주문이 등장하며 완드가 없어도 던질 수 있습니다.,,,,
mat_air,air,воздух,ar,aire,Luft,air,空气,空気,공기,,,,
mat_fire,fire,огонь,fogo,fuego,Feuer,feu,火焰,炎,불,,,,
mat_spark,spark,искра,fagulha,chispa,Funken,étincelle,火花,スパーク,불꽃,,,,
mat_spark_green,spark,искра,fagulha,chispa,Funken,étincelle,火花,スパーク,불꽃,,,,
mat_spark_blue,spark,искра,fagulha,chispa,Funken,étincelle,火花,スパーク,불꽃,,,,
mat_spark_red,spark,искра,fagulha,chispa,Funken,étincelle,火花,スパーク,불꽃,,,,
mat_spark_white,spark,искра,fagulha,chispa,Funken,étincelle,火花,スパーク,불꽃,,,,
mat_spark_yellow,spark,искра,fagulha,chispa,Funken,étincelle,火花,スパーク,불꽃,,,,
mat_spark_purple,spark,искра,fagulha,chispa,Funken,étincelle,火花,スパーク,불꽃,,,,
mat_spark_player,spark,искра,fagulha,chispa,Funken,étincelle,火花,スパーク,불꽃,,,,
mat_spark_teal,spark,искра,fagulha,chispa,Funken,étincelle,火花,スパーク,불꽃,,,,
mat_spark_electric,electric spark,электрическая искра,fagulha elétrica,chispa eléctrica,Elektrischer Funken,étincelle électrique,电火花,電撃スパーク,전기 불꽃,,,,
mat_flame,fire,огонь,fogo,fuego,Feuer,feu,火焰,炎,불,,,,
mat_sand_static,ground,земля,chão,suelo,Boden,sol,地面,地面,바닥,,,,
mat_sand_static_rainforest,lush ground,плодородная земля,chão exuberante,suelo frondoso,üppiger Boden,sol verdoyant,葱郁地面,豊かな地面,우거진 바닥,,,,
mat_bone_static,bone wall,костяная стена,parede de osso,muro de hueso,Knochenwand,mur d'os,骨墙,骨の壁,뼈 벽,,,,
mat_rust_static,rusted metal,ржавый металл,metal enferrujado,metal oxidado,rostiges Metall,métal rouillé,锈蚀金属,錆びた金属,녹슨 금속,,,,
mat_sand_static_bright,granite ground,гранитная земля,chão de granito,suelo de granito,Granitboden,sol de granit,花岗岩地面,花こう岩の地面,화강암 바닥,,,,
mat_sand_static_red,rusty ground,ржавая земля,chão enferrujado,suelo oxidado,rostiger Boden,sol rouillé,锈蚀地面,赤茶けた地面,녹슨 바닥,,,,
mat_nest_static,nest,гнездо,ninho,nido,Nest,nid,巢穴,巣,둥지,,,,
mat_bluefungi_static,blue fungus,синий гриб,fungo azul,hongo azul,blauer Pilz,champignon bleu,蓝色真菌,青いキノコ,파란 곰팡이,,,,
mat_cheese_static,cheese,сыр,queijo,queso,Käse,fromage,奶酪,チーズ,치즈,,,,
mat_rock_static,rock,камень,rocha,roca,Fels,pierre,岩石,岩,바위,,,,
mat_rock_static_intro,rock,камень,rocha,roca,Fels,pierre,岩石,岩,바위,,,,
mat_water_static,Water,Вода,Água,Agua,Wasser,Eau,水,水,물,,,,
mat_endslime_static,hell slime,адская слизь,gosma infernal,limo infernal,Höllenschleim,gelée infernale,地狱粘液,地獄のスライム,지옥 슬라임,,,,
mat_slime_static,slime,слизь,gosma,limo,Schleim,gelée,粘液,スライム,슬라임,,,,
mat_rock_hard,dense rock,плотный камень,rocha densa,roca densa,dichter Fels,pierre dense,致密岩石,固い岩,고밀도 바위,,,,
mat_rock_static_noedge,rock,камень,rocha,roca,Fels,pierre,岩石,岩,바위,,,,
mat_rock_hard_border,extremely dense rock,очень плотный камень,rocha extremamente densa,roca extremadamente densa,extrem dichter Fels,pierre extrêmement dense,极度致密岩石,非常に固い岩,엄청난 고밀도 바위,,,,
mat_rock_magic_gate,magic gate,волшебные врата,portão mágico,puerta mágica,Magisches Tor,porte magique,魔法门,魔法の門,마법 문,,,,
mat_rock_magic_bottom,magic wall,волшебная стена,parede mágica,muro mágico,Magische Wand,mur magique,魔法墙,魔法の壁,마법 벽,,,,
mat_rock_eroding,eroding rock,разрушающийся камень,rocha corroída,roca erosionada,erodierender Fels,pierre en érosion,侵蚀岩石,浸食岩,침식된 바위,,,,
mat_rock_vault,vault rock,камень убежища,rocha de cofre,roca acorazada,Gewölbefels,pierre de coffre-fort,拱顶石,湾曲岩,금고 바위,,,,
mat_coal_static,coal vein,угольный пласт,veio de carvão,veta de carbón,Kohleader,veine de charbon,煤矿矿脉,石炭鉱脈,석탄 광맥,,,,
mat_rock_static_grey,grey rock,серый камень,rocha cinza,roca gris,grauer Fels,pierre grise,灰色岩石,灰色の岩,회색 바위,,,,
mat_rock_static_radioactive,toxic rock,радиоактивный камень,rocha tóxica,roca tóxica,toxischer Fels,pierre toxique,附有毒液的岩石,猛毒の岩,독성 바위,,,,
mat_rock_static_poison,poisonous rock,ядовитый камень,rocha venenosa,roca venenosa,giftiger Fels,pierre empoisonnée,有毒岩石,毒の岩,독극물 바위,,,,
mat_skullrock,hell rock,адский камень,rocha infernal,roca infernal,Höllenfels,pierre infernale,地狱岩,地獄の岩,지옥 바위,,,,
mat_rock_static_wet,damp rock,влажный камень,rocha úmida,roca húmeda,feuchter Fels,pierre humide,潮湿岩石,湿った岩,축축한 바위,,,,
mat_lavarock_static,volcanic rock,вулканический камень,rocha vulcânica,roca volcánica,vulkanischer Fels,pierre volcanique,火山岩,火山岩,화산 바위,,,,
mat_lava,lava,лава,lava,lava,Lava,lave,岩浆,溶岩,용암,,,,
mat_meteorite_static,meteorite,метеорит,meteorito,meteorito,Meteorit,météorite,陨石,隕石,운석,,,,
mat_templerock_static,brickwork,кирпич,alvenaria,ladrillo,Mauerwerk,briquetage,砖块,レンガ,벽돌,,,,
mat_templebrick_static,brickwork,кирпич,alvenaria,ladrillo,Mauerwerk,briquetage,砖块,レンガ,벽돌,,,,
mat_templebrick_noedge_static,brickwork,кирпич,alvenaria,ladrillo,Mauerwerk,briquetage,砖块,レンガ,벽돌,,,,
mat_templebrick_thick_static,brickwork,кирпич,alvenaria,ladrillo,Mauerwerk,briquetage,砖块,レンガ,벽돌,,,,
mat_templebrickdark_static,brickwork,кирпич,alvenaria,ladrillo,Mauerwerk,briquetage,砖块,レンガ,벽돌,,,,
mat_glowstone,glowing stone,светящийся камень,pedra brilhante,piedra brillante,leuchtender Stein,pierre luisante,发光石,光る石,빛나는 돌,,,,
mat_glowstone_altar,glowing stone,светящийся камень,pedra brilhante,piedra brillante,leuchtender Stein,pierre luisante,发光石,光る石,빛나는 돌,,,,
mat_glowstone_potion,glowing stone,светящийся камень,pedra brilhante,piedra brillante,leuchtender Stein,pierre luisante,发光石,光る石,빛나는 돌,,,,
mat_templebrick_red,brickwork,кирпич,alvenaria,ladrillo,Mauerwerk,briquetage,砖块,レンガ,벽돌,,,,
mat_templebrick_moss_static,mossy brickwork,мшистый кирпич,alvenaria musgosa,ladrillo musgoso,bemoostes Mauerwerk,briquetage mousseux,苔砖块,苔むしたレンガ,이끼 벽돌,,,,
mat_the_end,hell rock,адский камень,rocha infernal,roca infernal,Höllenfels,pierre infernale,地狱岩,地獄の岩,지옥 바위,,,,
mat_steel_static,steel,сталь,aço,acero,Stahl,acier,钢,鋼,강철,,,,
mat_steelmoss_static,mossy steel,мшистая сталь,aço musgoso,acero musgoso,bemooster Stahl,acier mousseux,苔钢,苔むした鋼,이끼 강철,,,,
mat_steelmoss_slanted,mossy steel,мшистая сталь,aço musgoso,acero musgoso,bemooster Stahl,acier mousseux,苔钢,苔むした鋼,이끼 강철,,,,
mat_steelsmoke_static,smoking steel,дымящаяся сталь,aço fumegante,acero humeante,rauchender Stahl,acier fumant,冒烟的钢,煙たい鋼,연기 강철,,,,
mat_steelpipe_static,metal pipe,металлическая труба,cano de metal,tubería de metal,Metallrohr,barre de métal,钢管,鉄パイプ,금속 파이프,,,,
mat_steel_static_strong,dense steel,плотная сталь,aço denso,acero denso,dichter Stahl,acier dense,高密度钢,固い鋼,밀도 높은 강철,,,,
mat_steel_static_unmeltable,hardened steel,закаленная сталь,aço reforçado,acero endurecido,gehärteter Stahl,acier durci,硬化钢,固まった鋼,단단한 강철,,,,
mat_rock_static_glow,glowing matter,светящаяся материя,matéria brilhante,materia brillante,leuchtende Materie,matière luisante,发光物质,光る物質,빛나는 물질,,,,
mat_snow_static,packed snow,плотный снег,neve compacta,nieve compacta,verdichteter Schnee,neige tassée,压实的雪,詰まった雪,뭉친 눈,,,,
mat_ice_static,ice,лед,gelo,hielo,Eis,glace,寒冰,氷,얼음,,,,
mat_rock_static_intro_breakable,rock,камень,rocha,roca,Fels,pierre,岩石,岩,바위,,,,
mat_ice_blood_static,frozen blood,замерзшая кровь,sangue congelado,sangre congelada,gefrorenes Blut,sang gelé,冻结的血,凍った血,얼어붙은 피,,,,
mat_ice_acid_static,frozen acid,замерзшая кислота,ácido congelado,ácido congelado,gefrorene Säure,acide gelé,冻结的酸液,凍った酸,얼어붙은 산성,,,,
mat_ice_cold_static,ice,лед,gelo,hielo,Eis,glace,寒冰,氷,얼음,,,,
mat_ice_radioactive_static,toxic ice,радиоактивный лед,gelo tóxico,hielo tóxico,toxisches Eis,glace toxique,毒冰,猛毒の氷,독성 얼음,,,,
mat_ice_meteor_static,ice,лед,gelo,hielo,Eis,glace,寒冰,氷,얼음,,,,
mat_tubematerial,neon tube,неоновая трубка,tubo de neon,tubo de neón,Neonröhre,tube néon,霓虹灯,ネオンチューブ,네온 튜브,,,,
mat_glass_static,glass,стекло,vidro,vidrio,Glas,verre,玻璃,ガラス,유리,,,,
mat_waterrock,rock,камень,rocha,roca,Fels,pierre,岩石,岩,바위,,,,
mat_ice_glass,ice,лед,gelo,hielo,Eis,glace,寒冰,氷,얼음,,,,
mat_tube_physics,neon tube,неоновая трубка,tubo de neon,tubo de neón,Neonröhre,tube néon,霓虹灯,ネオンチューブ,네온 튜브,,,,
mat_ice_acid_glass,frozen acid,замерзшая кислота,ácido congelado,ácido congelado,gefrorene Säure,acide gelé,冻结的酸液,凍った酸,얼어붙은 산성,,,,
mat_ice_cold_glass,ice,лед,gelo,hielo,Eis,glace,寒冰,氷,얼음,,,,
mat_ice_radioactive_glass,toxic ice,радиоактивный лед,gelo tóxico,hielo tóxico,toxisches Eis,glace toxique,毒冰,猛毒の氷,독성 얼음,,,,
mat_ice_glass_b2,ice,лед,gelo,hielo,Eis,glace,寒冰,氷,얼음,,,,
mat_glass_brittle,brittle glass,хрупкое стекло,vidro frágil,vidrio frágil,brüchiges Glas,verre fragile,易碎玻璃,もろいガラス,금 간 유리,,,,
mat_snowrock_static,frozen rock,замерзший камень,rocha congelada,roca congelada,gefrorener Fels,pierre gelée,冻结岩石,凍った岩,얼어붙은 바위,,,,
mat_concrete_static,concrete,бетон,concreto,hormigón,Beton,béton,混凝土,コンクリート,콘크리트,,,,
mat_wood_static,wood,дерево,madeira,madera,Holz,bois,木材,木材,목재,,,,
mat_wood_static_wet,damp wood,влажное дерево,madeira úmida,madera húmeda,feuchtes Holz,bois humide,潮湿木材,湿った木材,축축한 목재,,,,
mat_creepy_liquid_emitter,brick wall,кирпичная стена,parede de tijolo,muro de ladrillo,Ziegelmauer,mur de briques,砖墙,レンガの壁,벽돌 벽,,,,
mat_gold_static,gold vein,золотая жила,veio de ouro,veta de oro,Goldader,veine d'or,金矿矿脉,黄金鉱脈,황금 광맥,,,,
mat_gold_static_dark,vibrant gold vein,яркая золотая жила,veio de ouro vibrante,veta de oro brillante,pulsierende Goldader,veine d'or ardente,醒目的金矿矿脉,活力ある黄金鉱脈,생생한 황금 광맥,,,,
mat_wood_static_vertical,wood,дерево,madeira,madera,Holz,bois,木材,木材,목재,,,,
mat_wood_static_gas,pressurized wood,дерево под давлением,madeira pressurizada,madera presurizada,komprimiertes Holz,bois pressurisé,耐压木材,加圧された木材,압착 목재,,,,
mat_corruption_static,corrupted rock,поврежденный камень,rocha corrompida,roca corrupta,brüchiger Fels,pierre corrompue,崩溃的岩石,壊れた岩,썩은 바위,,,,
mat_smoke,smoke,дым,fumaça,humo,Rauch,fumée,烟,煙,연기,,,,
mat_smoke_explosion,smoke,дым,fumaça,humo,Rauch,fumée,烟,煙,연기,,,,
mat_steam,steam,пар,vapor,vapor,Dampf,vapeur,蒸汽,蒸気,증기,,,,
mat_acid_gas,flammable gas,горючий газ,gás inflamável,gas inflamable,entflammbares Gas,gaz inflammable,可燃气体,引火性ガス,인화성 가스,,,,
mat_acid_gas_static,flammable gas,горючий газ,gás inflamável,gas inflamable,entflammbares Gas,gaz inflammable,可燃气体,引火性ガス,인화성 가스,,,,
mat_smoke_static,smoke,дым,fumaça,humo,Rauch,fumée,烟,煙,연기,,,,
mat_poison_gas,poison gas,ядовитый газ,gás venenoso,gas venenoso,Giftgas,gaz empoisonné,毒气,有毒ガス,독가스,,,,
mat_fungal_gas,fungal gas,грибной газ,gás fúngico,gas de hongos,Pilzgas,gaz fongique,真菌气体,真菌ガス,곰팡이 가스,,,,
mat_blood_cold_vapour,freezing vapour,замораживающее испарение,vapor congelante,vapor congelante,gefrierender Dampf,vapeur de gel,冰冷蒸汽,凍結気化ガス,얼어붙은 증기,,,,
mat_sand_herb_vapour,funky vapour,вонючее испарение,vapor estranho,vapor raro,merkwürdiger Dampf,vapeur déglingo,迷幻蒸汽,ファンキーな気化ガス,곰팡이 증기,,,,
mat_radioactive_gas,toxic gas,радиоактивный газ,gás tóxico,gas tóxico,toxisches Gas,gaz toxique,毒液气体,猛毒ガス,독성 가스,,,,
mat_radioactive_gas_static,toxic gas,радиоактивный газ,gás tóxico,gas tóxico,toxisches Gas,gaz toxique,毒液气体,猛毒ガス,독성 가스,,,,
mat_water,Water,Вода,Água,Agua,Wasser,Eau,水,水,물,Vesi,,,
mat_water_fading,Water,Вода,Água,Agua,Wasser,Eau,水,水,물,,,,
mat_water_salt,brine,соленая вода,salmoura,salmuera,Sole,saumure,盐水,海水,저장수,,,,
mat_water_temp,Water,Вода,Água,Agua,Wasser,Eau,水,水,물,,,,
mat_water_ice,chilly water,холодная вода,água gelada,agua fría,kaltes Wasser,eau froide,冰水,冷たい水,매운 물,,,,
mat_water_swamp,swamp,болото,pântano,pantano,Sumpf,marais,沼泽,溜池,늪,,,,
mat_oil,oil,нефть,petróleo,aceite,Öl,huile,油,オイル,기름,,,,
mat_liquid_fire_weak,liquid fire,жидкий огонь,fogo líquido,fuego líquido,flüssiges Feuer,feu liquide,液体燃烧剂,液火,액체 화염,,,,
mat_alcohol,whiskey,виски,uísque,whisky,Whiskey,whiskey,威士忌,ウイスキー,위스키,,,,
mat_midas_precursor,alchemic precursor,алхимический прекурсор,precursor alquímico,precursor alquímico,alchemistische Vorstufe,précurseur alchimique,炼金溶液,錬金術の先駆者,연금술 물질,,,,
mat_midas,draught of midas,глоток Мидаса,trago de midas,brebaje de Midas,Midas-Schluck,gorgée de Midas,点金之水,ミダスの設計図,마이다스의 약,,,,
mat_magic_liquid,gate-opener,открытие ворот,abre-portão,abridorium,Toröffner,ouvreur de porte,开门魔药,門番,문따개,,,,
mat_magic_liquid_teleportation,teleportatium,телепортиум,líquido de teletransporte,teleportatium,Teleportatium,téléportatium,传送基质,テレポータチアム,텔레포타슘,,,,
mat_magic_liquid_hp_regeneration,healthium,лечиниум,líquido de saúde,sanatorium,Lebentium,santium,生命基质,ヘルシアム,건강슘,,,,
mat_magic_liquid_hp_regeneration_unstable,lively concoction,живой концентрат,mistura vívida,mejunje regenerador,lebhaftes Gebräu,décoction vivace,活泼混合物,活発な調合,생기의 혼합물,,,,
mat_magic_liquid_polymorph,polymorphine,полиморфин,polimorfina,polimorfina,Polymorphin,polymorphine,变形魔药,多形性型,변신모르핀,,,,
mat_magic_liquid_random_polymorph,chaotic polymorphine,хаотический полиморфин,polimorfina caótica,polimorfina caótica,chaotisches Polymorphin,polymorphine chaotique,混乱变形魔药,カオスな多形性型,혼돈의 변신모르핀,,,,
mat_magic_liquid_berserk,berserkium,берсеркиум,líquido de fúria,berserkium,Berserkium,berserkium,狂暴基质,バーサーキアム,버서키움,,,,
mat_magic_liquid_charm,pheromone,феромон,feromônio,feromona,Pheromon,phéromone,费洛蒙,フェロモン,페로몬,,,,
mat_magic_liquid_invisibility,invisiblium,невидиум,líquido de invisibilidade,invisibilium,Unsichtbatium,invisiblium,隐形魔药,透明ビリアム,투명슘,,,,
mat_cloud,cloud,облако,nuvem,nube,Wolke,nuage,云,雲,구름,,,,
mat_cloud_radioactive,toxic mist,радиоактивный туман,névoa tóxica,niebla tóxica,toxischer Nebel,brouillard toxique,毒雾,猛毒ミスト,독안개,,,,
mat_cloud_alcohol,alcohol mist,алкогольный туман,névoa alcoólica,niebla de alcohol,Alkoholnebel,brouillard d'alcool,酒雾,アルコールミスト,알코올 안개,,,,
mat_cloud_blood,blood mist,кровавый туман,névoa de sangue,niebla de sangre,Blutnebel,brouillard de sang,血雾,血のミスト,피안개,,,,
mat_cloud_slime,slime mist,слизистый туман,névoa gosmenta,niebla de limo,Schleimnebel,brouillard de gelée,粘液雾,スライムミスト,슬라임 안개,,,,
mat_swamp,swamp,болото,pântano,pantano,Sumpf,marais,沼泽,溜池,늪,,,,
mat_mud,mud,ил,lama,fango,Matsch,boue,淤泥,泥,진흙,,,,
mat_blood_fading_slow,fungal blood,грибная кровь,sangue fúngico,sangre de hongos,Pilzblut,sang fongique,真菌血液,真菌の血,곰팡이 피,,,,
mat_blood_worm,worm blood,червивая кровь,sangue de verme,sangre de gusano,Wurmblut,sang de ver,蠕虫血液,蠕虫の血,따뜻한 피,,,,
mat_blood_cold,freezing liquid,замораживающая жидкость,líquido congelante,líquido congelante,gefrierende Flüssigkeit,liquide de gel,冰冷液体,凍結液体,얼어붙은 액체,,,,
mat_radioactive_liquid,toxic sludge,радиоактивное вещество,lodo tóxico,barro tóxico,toxischer Schlamm,vase toxique,毒性淤泥,猛毒ヘドロ,독성 진흙,,,,
mat_poison,glowing liquid,светящаяся жидкость,líquido brilhante,líquido brillante,leuchtende Flüssigkeit,liquide luisant,发光液体,光る液体,빛나는 액체,,,,
mat_radioactive_liquid_fading,toxic sludge,радиоактивное вещество,lodo tóxico,barro tóxico,toxischer Schlamm,vase toxique,毒性淤泥,猛毒ヘドロ,독성 진흙,,,,
mat_plasma_fading,magical liquid,волшебная жидкость,líquido mágico,líquido mágico,magische Flüssigkeit,liquide magique,魔法液体,魔法の液体,마법 액체,,,,
mat_plasma_fading_green,magical liquid,волшебная жидкость,líquido mágico,líquido mágico,magische Flüssigkeit,liquide magique,魔法液体,魔法の液体,마법 액체,,,,
mat_plasma_fading_pink,magical liquid,волшебная жидкость,líquido mágico,líquido mágico,magische Flüssigkeit,liquide magique,魔法液体,魔法の液体,마법 액체,,,,
mat_gold_molten,molten gold,расплавленное золото,ouro derretido,oro derretido,geschmolzenes Gold,or fondu,熔化金液,溶解ゴールド,녹은 황금,,,,
mat_steel_static_molten,molten steel,расплавленная сталь,aço derretido,acero derretido,geschmolzener Stahl,acier fondu,熔化钢水,溶解鋼,녹은 강철,,,,
mat_steelmoss_slanted_molten,molten steel,расплавленная сталь,aço derretido,acero derretido,geschmolzener Stahl,acier fondu,熔化钢水,溶解鋼,녹은 강철,,,,
mat_steelmoss_static_molten,molten steel,расплавленная сталь,aço derretido,acero derretido,geschmolzener Stahl,acier fondu,熔化钢水,溶解鋼,녹은 강철,,,,
mat_steelsmoke_static_molten,molten steel,расплавленная сталь,aço derretido,acero derretido,geschmolzener Stahl,acier fondu,熔化钢水,溶解鋼,녹은 강철,,,,
mat_metal_molten,molten metal,расплавленный металл,metal derretido,metal derretido,geschmolzenes Metall,métal fondu,熔化金属,溶解金属,녹은 금속,,,,
mat_metal_rust_molten,molten metal,расплавленный металл,metal derretido,metal derretido,geschmolzenes Metall,métal fondu,熔化金属,溶解金属,녹은 금속,,,,
mat_metal_nohit_molten,molten metal,расплавленный металл,metal derretido,metal derretido,geschmolzenes Metall,métal fondu,熔化金属,溶解金属,녹은 금속,,,,
mat_aluminium_molten,molten aluminium,расплавленный алюминий,alumínio derretido,aluminio derretido,geschmolzenes Aluminium,aluminium fondu,熔化铝液,溶解アルミニウム,녹은 알루미늄,,,,
mat_aluminium_robot_molten,molten aluminium,расплавленный алюминий,alumínio derretido,aluminio derretido,geschmolzenes Aluminium,aluminium fondu,熔化铝液,溶解アルミニウム,녹은 알루미늄,,,,
mat_metal_prop_molten,molten metal,расплавленный металл,metal derretido,metal derretido,geschmolzenes Metall,métal fondu,熔化金属,溶解金属,녹은 금속,,,,
mat_steel_rust_molten,molten steel,расплавленная сталь,aço derretido,acero derretido,geschmolzener Stahl,acier fondu,熔化钢水,溶解鋼,녹은 강철,,,,
mat_aluminium_oxide_molten,molten aluminium,расплавленный алюминий,alumínio derretido,aluminio derretido,geschmolzenes Aluminium,aluminium fondu,熔化铝液,溶解アルミニウム,녹은 알루미늄,,,,
mat_wax_molten,molten wax,расплавленный воск,cera derretida,cera derretida,geschmolzenes Wachs,cire fondue,熔化蜡油,溶解ワックス,녹은 밀랍,,,,
mat_silver_molten,molten silver,расплавленное серебро,prata derretida,plata derretida,geschmolzener Silber,argent fondu,熔化银汁,溶解シルバー,녹은 은,,,,
mat_copper_molten,molten copper,расплавленная медь,cobre derretido,cobre derretido,geschmolzener Kupfer,cuivre fondu,熔化铜水,溶解銅,녹은 구리,,,,
mat_brass_molten,molten brass,расплавленная латунь,bronze derretido,latón derretido,geschmolzenes Messing,laiton fondu,熔化黄铜水,溶解真ちゅう,녹은 청동,,,,
mat_glass_molten,molten glass,расплавленное стекло,vidro derretido,vidrio derretido,geschmolzenes Glas,verre fondu,熔融玻璃,溶解ガラス,녹은 유리,,,,
