,en,fi-es,ru,zh-cn,jp,ko,pt-br,es-es,de,fr-fr,,NOTES – use \n for newline,max length
perk_hover_boost,Strong levitation,,Сильная левитация,强漂浮力,強い空中浮遊,강력 비행,Levitação forte,Levitación potente,Starker Schwebezauber,Forte lévitation,,,
perkdesc_hover_boost,You can fly 100% longer.,,Можно летать на 100% дольше.,你的飞行距离加倍。,100%更に長く飛ぶことができる。,100% 더 길게 비행할 수 있습니다.,Você consegue voar 100% a mais de tempo.,Puedes volar el doble de tiempo.,Du kannst 100 % länger fliegen.,Vous pouvez voler 100 % plus longtemps.,,,
perk_movement_faster,Faster movement,,Ускоренное движение,更快移动,移動速度増加,빠른 이동,Movimento mais veloz,Movimiento veloz,Schnellere Bewegungen,Mouvement accéléré,,,
perkdesc_movement_faster,Your movement speed is increased.,,Скорость перемещения увеличена.,你的移动速度加快。,移動速度が増加される。,이동 속도가 증가합니다.,Aumenta sua velocidade de movimento.,Aumenta la velocidad de movimiento.,Deine Bewegungsgeschwindigkeit ist erhöht.,Votre vitesse de déplacement est augmentée.,,,
perk_repelling_cape,Repelling cape,,Самоочищающаяся накидка,驱散斗篷,反発マント,오염 방지 망토,Capa repelente,Capa impermeable,Abweisender Umhang,Cape imperméable,,,
perkdesc_repelling_cape,Stains drop at a fast rate (when moving).,,Пятна отваливаются с большой скоростью (при движении).,（移动时）脏污褪去的速度提升。,シミが速い速度で落ちる(移動時)。,오염이 이동 시 더 빠르게 사라집니다.,As manchas saem mais rapidamente (ao locomover-se).,Las manchas se quitan más rápido (al moverse).,Flecken verschwinden schneller (bei Bewegung).,Les taches s'estompent rapidement (en se déplaçant).,,,
perk_exploding_corpses,Exploding corpses,,Взрывающиеся трупы,爆尸,爆発死体,시체 폭발,Cadáveres explosivos,Cadáveres explosivos,Explodierende Leichen,Corps explosifs,,,
perkdesc_exploding_corpses,Enemies explode upon death,,Враги при смерти взрываются,敌人死亡时会爆炸,敵が死亡時に爆発する,적이 사망 시 폭발합니다.,Os inimigos explodem ao morrerem.,Los enemigos explotan al morir,Feinde explodieren nach ihrem Tod,Les ennemis explosent en mourant,,,
perk_saving_grace,Saving grace,,Единственное спасение,死里逃生,救い,구조의 가호,Graça da salvação,Gracia divina,Göttliche Gnade,Grâce salvatrice,,,
perkdesc_saving_grace,"If you would die and have more than 1 HP, your HP is set to 1 instead.",,"Если вы умрете с ОЗ больше 1, вместо смерти ОЗ будут сброшены до 1.",生命值高于 1 时，将以生命值降为 1 代替死亡。,あなたが死にそうでHPが1以上ある場合、HPが1に設定される。,"체력이 1 이상인 경우, 한 번은 그 이상의 대미지를 받아도 죽지 않고 체력이 1로 고정됩니다.","Se tiver mais de 1 de PV e um acerto fosse matar você, seu PV acabará ficando em 1 em vez de morrer.","Cuando vayas a morir y tengas más de 1 PS, en su lugar tus PS se quedan en 1.","Wenn du sterben würdest, und mehr als 1 LP hast, werden deine LP stattdessen auf 1 gesetzt.","Si vous avez plus d'1 PV, vos PV tombent à 1 mais vous ne mourez pas.",,,
perk_invisibility,Invisibility,,Невидимость,隐身,透明,투명,Invisibilidade,Invisibilidad,Unsichtbarkeit,Invisibilité,,,
perkdesc_invisibility,"You're invisible. Stains, casting spells, kicking and taking damage removes the effect temporarily.",,"Вы невидимка. Пятна, заклинания, удары и получение урона приостанавливают действие эффекта.",你隐身了。脏污、施放法术、踢击和受伤会暂时解除效果。,透明になる。シミ、呪文詠唱、蹴り、ダメージを受けることでこの効果が一時的に取り除かれる。,"투명입니다. 오염, 주문 시전, 발차기, 대미지 입기의 효과가 일시적으로 사라집니다.","Você fica invisível. Manchas, lançar feitiços, chutar e receber dano removem o efeito temporariamente.","Eres invisible. Las manchas, lanzar hechizos, patear o recibir daño eliminan el efecto temporalmente.","Du bist unsichtbar. Flecken, das Wirken von Zaubern, Schläge und das Erleiden von Schaden entfernen diesen Effekt temporär.","Vous êtes invisible. Les taches, les lancers de sorts, les coups de pied et les dégâts annulent temporairement l'effet.",,,
perk_global_gore,More blood,,Больше крови,更多血液,更なる血,더 많은 피,Mais sangue,Más sangre,Mehr Blut,Plus de sang,,,
perkdesc_global_gore,Blood blood blood.,,Кровь кровь кровь.,血呀，到处都是！,血、血、血。,피 피 피.,"Sangue, sangue e sangue.","Sangre, sangre, sangre.",Blut Blut Blut.,"Du sang, du sang, du sang.",,,
perk_no_damage_flash,No damage flash,,Без вспышек при уроне,无伤害闪烁,肉破損無し,대미지 플래쉬 없음,Sem flash de dano,Sin destello de daño,Kein Schadenseffekt,Pas de flash de dégâts,,,
perkdesc_no_damage_flash,"Pain is inevitable, but damage flash is optional.",,"Боль неизбежна, но вспышки при уроне необязательны.",痛苦无可避免，但伤害闪烁可以选择。,痛みを避けることはできないが、肉の破損は任意。,"고통은 피할 수 없지만, 대미지 플래쉬는 옵션입니다.","A dor é inevitável, mas o flash de dano é opcional.","El dolor es inevitable, pero el destello de daño es opcional.","Schmerzen sind nicht vermeidbar, aber der visuelle Schadenseffekt ist optional.","La douleur est inévitable, mais le flash de dégâts est optionnel.",,,
perk_reverse_slowdown,Slicky slime,,Слизкая слизь,滑溜粘液,滑らかスライム,미끈한 슬라임,Gosma escorregadia,Limo deslizante,Glitschiger Schleim,Gelée glissante,,,
perkdesc_reverse_slowdown,"Instead of slowing you down, slime allows you to move faster.",,"Слизь не замедляет вас, а позволяет двигаться быстрее.",粘液不会让你减速，反而令你移动速度加快。,移動速度が遅くなる代わりに、このスライムのおかげで移動速度が速くなる。,속도가 느려지는 대신 더 빨리 이동할 수 있게 됩니다.,"Em vez de retardar seu movimento, a gosma deixa você mais rápido.","En lugar de ralentizarte, el limo te ayuda a moverte más rápido.","Statt dich zu verlangsamen, ermöglicht dir Schleim, dass du dich schneller bewegst.","Au lieu de vous ralentir, la gelée vous permet de vous déplacer plus vite.",,,
perk_vampirism,Vampirism,,Вампиризм,吸血术,吸血鬼,흡혈,Vampirismo,Vampirismo,Vampirismus,Vampirisme,,,
perkdesc_vampirism,"You regain health from drinking blood, but you lose one third of maximum health.",,"Вы пополняете здоровье, употребляя кровь, но теряете одну треть максимума ОЗ.",饮用血液可恢复生命，但会损失最大生命值的 1/3。,血を飲むことでヘルスを回復することができるが、最大ヘルスの3分の1を失う。,"피를 마시면 체력이 회복되지만, 최대 체력의 1/3을 잃습니다.","Você ganha saúde ao beber sangue, mas perde um terço da saúde máxima.","Recuperas salud bebiendo sangre, pero pierdes un tercio de tu salud máxima.","Du erhältst LP zurück, wenn du Blut trinkst, aber du verlierst ein Drittel deines maximalen Lebens.","Vous regagnez de la santé en buvant du sang, mais vous perdez un tiers de votre santé maximum.",,,
perk_extra_hp,Extra HP,,Дополнительные ОЗ,追加生命值,追加HP,추가 체력,PV extra,PS adicionales,Erhöhte LP,PV supplémentaires,,,
perkdesc_extra_hp,50% extra maximum health.,,Максимум здоровья повышен на 50%.,50% 追加生命值上限。,50%の追加最大ヘルス。,최대 체력의 50%가 추가됩니다.,50% de saúde máxima extra.,50 % de salud máxima adicional.,50 % erhöhte maximale LP.,50 % de PV maximum supplémentaires.,,,
perk_glass_cannon,Glass cannon,,Стеклянная пушка,玻璃大炮,ガラスキャノン,유리 대포,Canhão de vidro,Cañón de cristal,Glaskanone,Canon en verre,,,
perkdesc_glass_cannon,"Your spells deal 5x damage and have larger blast ranges, but your maximum health is capped to 50.",,"Заклинания наносят пятикратный урон и имеют больший радиус взрыва, но максимальный запас здоровья ограничен 50 единицами.",你的法术伤害 x5，并获得更大的爆炸半径，但你的最大生命值将限制在 50.,あなたの呪文が5倍ダメージを与え、更に大きな爆破範囲に広がるが、最大ヘルスが50に制限される。,"주문이 더 큰 폭발 범위를 가지고 5배 대미지를 가하지만, 최대 체력이 50으로 고정됩니다.","Seus feitiços causam cinco vezes mais dano e têm um raio de alcance maior, mas sua saúde máxima fica limitada em 50.","Tus hechizos hacen 5 veces más daño y el radio de sus explosiones es mayor, pero tu salud máxima se limita a 50.","Deine Zauber fügen 5x mehr Schaden zu und haben größere Explosionsbereiche, aber deine maximalen LP sind auf 50 begrenzt.","Vos sorts infligent 5x plus de dégâts et ont un rayon d'explosion accru, mais votre santé maximum se limite à 50.",,,
perk_respawn,Extra life,,Дополнительная жизнь,额外生命,追加ライフ,추가 생명,Vida extra,Vida extra,Zusätzliches Leben,Vie supplémentaire,,,
perkdesc_respawn,Upon death you respawn with 100 health.,,После смерти вы возрождаетесь со 100 ед. здоровья.,死亡时，你将以 100 生命值重生。,死亡時に100ヘルスで再出現する。,사망 시 체력 100으로 부활합니다.,"Ao morrer, você ressurge com 100 de saúde.","Al morir, resucitas con 100 de salud.",Nach dem Tod wirst du mit 100 LP wiederbelebt.,"À la mort, vous réapparaissez avec 100 points de santé",,,
perk_protection_fire,Fire immunity,,Огнестойкость,火焰免疫,火に対する免疫,화염 면역,Imunidade a fogo,Inmunidad al fuego,Feuerimmunität,Immunité contre le feu,,,
perkdesc_protection_fire,You take no damage from fire.,,Вы не получаете урон от огня.,火焰不会对你造成伤害。,火からダメージを受けることがなくなる。,불 대미지를 받지 않습니다.,Você não recebe dano de fogo.,No recibes daño de fuego.,Du erhältst keinen Schaden durch Feuer.,Le feu ne vous inflige pas de dégâts.,,,
perk_protection_radioactivity,Toxic sludge immunity,,Радиационная стойкость,毒液免疫,猛毒ヘドロに対する免疫,독성 진흙 면역,Imunidade a lodo tóxico,Inmunidad a las toxinas,Immunität gegen toxischen Schlamm,Immunité contre la vase toxique,,,
perkdesc_protection_radioactivity,You take no damage from toxic sludge.,,Вы не получаете урон от радиоактивных веществ.,毒液不会对你造成伤害。,猛毒ヘドロからダメージを受けることがなくなる。,독성 진흙 대미지를 받지 않습니다.,Não recebe dano de lodo tóxico.,No recibes daño de toxinas.,Du erhältst keinen Schaden durch toxischen Schlamm.,La vase toxique ne vous inflige pas de dégâts.,,,
perk_protection_explosion,Explosion immunity,,Взрывоустойчивость,爆炸免疫,爆破に対する免疫,폭발 면역,Imunidade a explosões,Inmunidad a las explosiones,Explosionsimmunität,Immunité contre les explosions,,,
perkdesc_protection_explosion,You take no direct damage from explosions.,,Вы не получаете прямого урона от взрывов.,爆炸不会对你造成直接伤害。,爆破から直接ダメージを受けることがなくなる。,폭발로 인한 직접적인 대미지를 받지 않습니다.,Você não recebe dano direto de explosões.,No recibes daño directo de explosiones.,Du erhältst keinen direkten Schaden durch Explosionen.,Les explosions ne vous infligent pas de dégâts directs.,,,
perk_protection_melee,Melee immunity,,Стойкость к рукопашной,近战免疫,近接攻撃に対する免疫,근접 면역,Imunidade a corpo a corpo,Inmunidad al cuerpo a cuerpo,Nahkampfimmunität,Immunité contre la mêlée,,,
perkdesc_protection_melee,You take no damage from close-range enemy attacks.,,Вы не получаете урон от атак противников в ближнем бою.,敌人的近距离攻击不会对你造成伤害。,敵による近距離の攻撃からダメージを受けることがなくなる。,적의 근접 공격 대미지를 받지 않습니다.,Você não recebe dano de ataques inimigos a curta distância.,No recibes daño de ataques de corto alcance de enemigos.,Du erhältst keinen Schaden durch feindliche Nahkampfangriffe.,Les attaques ennemies à courte portée ne vous infligent pas de dégâts.,,,
perk_protection_electricity,Electricity immunity,,Электростойкость,雷电免疫,電撃に対する免疫,전기 면역,Imunidade a eletricidade,Inmunidad a la electricidad,Elektrizitätsimmunität,Immunité contre l'électricité,,,
perkdesc_protection_electricity,You take no damage from electric shocks.,,Вы не получаете урон от ударов током.,电击不会对你造成伤害。,電撃ショックからダメージを受けることがなくなる。,전기 충격 대미지를 받지 않습니다.,Você não recebe dano de choques elétricos.,No recibes daño de descargas eléctricas.,Du erhältst keinen Schaden durch elektrische Schocks.,Les chocs électriques ne vous infligent pas de dégâts.,,,
perk_teleportitis,Teleportitis,,Телепортит,快速传送,瞬間移動,텔레포트 회피,Teletransportitis,Teleportitis,Teleportitis,Téléportite aigüe,,,
perkdesc_teleportitis,"Damage is reduced by 20%. Every time you take damage, you teleport away.",,"Урон снижен на 20%. Получая урон, вы каждый раз телепортируетесь прочь.",受到伤害减少 20%。每次受到伤害时，传送自身。,ダメージが20%減少する。毎回ダメージを受けるごとに、あなたがテレポートする。,대미지가 20% 감소합니다. 대미지를 입을 때마다 텔레포트하여 피합니다.,"O dano recebido é reduzido em 20%. Toda vez que você recebe dano, você se teletransporta.","Daño recibido reducido en un 20 %. Cada vez que recibes daño, te teletransportas.","Erlittener Schaden wird um 20 % reduziert. Jedes Mal, wenn du Schaden erhältst, teleportierst du dich weg.","Les dégâts sont réduits de 20 %. À chaque fois que vous subissez des dégâts, vous vous téléportez.",,,
perk_stainless_armour,Stainless armour,,Незапятнанная броня,光洁铠甲,シミがない鎧,오염 방지 방어구,Armadura sem manchas,Armadura impoluta,Unbefleckte Rüstung,Armure immaculée,,,
perkdesc_stainless_armour,You take 50% less damage as long as you have no active stain status effect.,,"Пока на вас нет пятен, вы получаете на 50% меньше урона.",没有受到脏污效果影响时，受到伤害减少 50%。,アクティブなシミ効果の影響を受けていなければ、50%減のダメージを受ける。,현재 오염 상태가 없는 경우 대미지를 50% 적게 받습니다.,Você recebe 50% menos dano contanto que não tenha nenhum efeito de mancha ativo.,Recibes un 50 % menos de daño mientras no tengas ninguna mancha activa.,"Du erleidest 50 % weniger Schaden, solange du keine aktiven Fleck-Statuseffekte hast.",Vous subissez 50 % moins de dégâts tant que l'effet de salissure n'est pas activé.,,,
perk_edit_wands_everywhere,Edit Wands Everywhere,,Изменение жезлов везде,随时编辑魔杖,どこでも杖を編集,아무데서나 완드 편집,Editar varinhas em qualquer lugar,Configura varitas donde sea,Zauberstäbe überall bearbeiten,Modifier les baguettes partout,,,
perkdesc_edit_wands_everywhere,Divine blessing allows you to edit wands everywhere.,,Божественное благословение позволяет вам изменять жезлы где угодно.,神圣祝福令你能够随地编辑魔杖。,神の祝福により、どこにいても杖を編集することができるようになる。,신의 은총으로 아무데서나 완드 편집이 가능합니다.,Uma bênção divina permite que você edite varinhas em qualquer lugar.,Una bendición divina te permite configurar varitas donde quieras.,"Ein göttlicher Segen gibt dir die Möglichkeit, Zauberstäbe überall zu bearbeiten.",La bénédiction divine vous permet de modifier les baguettes partout.,,,
perk_projectile_homing,Homing shots,,Самонаводящиеся выстрелы,追踪魔弹,ホーミングショット,유도 사격,Lançamentos guiados,Disparos perseguidores,Zielflugschüsse,Tirs chercheurs,,,
perkdesc_projectile_homing,All your spells home towards enemies very slightly.,,Все заклинания слегка отклоняются в сторону врагов.,你所有法术都会轻微追踪敌人。,全ての呪文が、少しだけ敵の方に向かって行く。,모든 스펠이 조금 더 적을 향하여 움직입니다.,Todos os seus feitiços se guiam levemente em direção aos inimigos.,Todos tus hechizos se ven atraídos levemente por los enemigos.,Alle deine Zauber werden geringfügig von Feinden angezogen.,Tous vos sorts se dirigent très légèrement vers les ennemis.,,,
perk_freeze_field,Freeze field,,Замораживающее поле,冰冻领域,凍結フィールド,얼음 들판,Campo congelante,Campo congelante,Eisfeld,Champ de gel,,,
perkdesc_freeze_field,Freezes liquids around you.,,Замораживает жидкости вокруг вас.,冻结你附近的液体。,周辺の液体を凍らせる。,주변의 액체를 모두 얼립니다.,Congela líquidos ao seu redor.,Congela los líquidos a tu alrededor,Friert Flüssigkeit um dich herum ein.,Gèle les liquides autour de vous.,,,
perk_dissolve_powders,Dissolve powders,,Растворение сыпучих веществ,粉末消融,粉末溶解,가루 녹이기,Dissolver pólvoras,Disolvente de polvo,Pulver auflösen,Dissoudre les poudres,,,
perkdesc_dissolve_powders,"Sand and other soft, powdery materials dissolve quickly in your presence.",,Песок и другие мягкие порошкообразные материалы в вашем присутствии быстро растворяются.,砂粒以及其他柔软粉末状材料会在你附近快速消融。,砂やその他の細かな粉素材は、あなたがいると素早く溶解する。,가까이 가면 모래 및 기타 부드러운 가루 재료가 빠르게 녹습니다.,Areia e outros materiais suaves e em pó que dissolvem rapidamente em sua presença.,"La arena y otros materiales blandos, en forma de polvo, se disuelven rápidamente en tu presencia.","Sand und andere weiche, pulvrige Substanzen lösen sich in deiner Anwesenheit schnell auf.",Le sable et les autres matériaux doux et poudreux sont rapidement dissous en votre présence.,,,
perk_bleed_slime,Slime blood,,Слизистая кровь,粘稠血液,スライムの血,슬라임 피,Sangue de gosma,Sangre de limo,Schleimblut,Sang de gelée,,,
perkdesc_bleed_slime,You bleed slime.,,Из вас течет слизь.,你流血时会淌出粘液。,スライムの血が出る。,슬라임 피를 흘리게 됩니다.,Você sangra gosma.,Sangras limo.,Du blutest Schleim.,Vous saignez de la gelée.,,,
perk_shield,Permanent shield,,Постоянный щит,永久护盾,永久シールド,영구 방패,Escudo permanente,Escudo permanente,Dauerhafter Schild,Bouclier permanent,,,
perkdesc_shield,"You gain a small, permanent shield.",,"У вас появляется маленький, зато постоянный щит.",你获得一面永久性的小型护盾。,小さいが、永久のシールドを獲得する。,작지만 영구적인 방패가 생깁니다.,Você ganha um escudo pequeno e permanente.,Consigues un pequeño escudo permanente.,"Du erhältst einen kleinen, dauerhaften Schild",Vous gagnez un petit bouclier permanent.,,,
perk_revenge_explosion,Revenge explosion,,Взрыв отмщения,以爆易暴,復讐爆破,복수의 폭발,Explosão da vingança,Explosión vengativa,Racheexplosion,Explosion vengeresse,,,
perkdesc_revenge_explosion,"Often when you take damage, you release a magical explosion that hurts enemies.",,"При получении урона вы часто испускаете магический взрыв, который ранит врагов.",受伤时，你会放出魔法爆炸，反击伤害你的敌人。,しばしばあなたがダメージを受ける時に、敵を傷付ける魔法の爆破を引き起こす。,대미지를 입을 때 마법 폭발이 발생하여 적에게 대미지를 입힙니다.,"Ao receber dano, você solta uma explosão mágica que causa dano nos inimigos.","A menudo, al recibir daño, liberas una explosión mágica que daña a los enemigos.","Wenn du Schaden erleidest, löst du oft eine magische Explosion aus, die deine Feinde verletzt.","Lorsque vous subissez des dégâts, vous provoquez souvent une explosion magique qui blesse les ennemis.",,,
perk_electricity,Electricity,,Электричество,雷电,電撃,전기,Eletricidade,Electricidad,Elektrizität,Électricité,,,
perkdesc_electricity,You're immune to electric damage but metal and liquids around you electrify constantly. Look out!,,"Вы невосприимчивы к урону электричеством, но металл и жидкости вокруг постоянно электризуются. Смотрите в оба!",免疫雷电伤害，但附近的金属和液体经常会通电。小心哟！,あなたは電撃ダメージに対して免疫を持っているが、周辺の鉄や液体は絶えず感電する。気を付けて！,전기 대미지에 면역이 되지만 주변에 있는 금속과 액체가 종종 감전 상태가 되니 조심하세요!,"Você fica imune a dano elétrico, porém metais e líquidos ao seu redor dão choque constantemente. Cuidado!",Eres inmune al daño eléctrico pero el metal y los líquidos a tu alrededor se electrifican constantemente. ¡Cuidado!,"Du bist immun gegen elektrischen Schaden, aber Metall und Flüssigkeiten um dich herum werden immer elektrifiziert. Vorsicht!","Vous êtes immunisé(s) contre les dégâts électriques, mais les métaux et les liquides autour de vous s'électrifient constamment. Faites attention !",,,
perk_mystery_eggplant,Mystery eggplant,,Тайный баклажан,神秘的茄子,謎のナスビ,의문의 가지,Berinjela misteriosa,Berenjena misteriosa,Mysteriöse Aubergine,Aubergine mystérieuse,,,
perkdesc_mystery_eggplant,It breaks easily.,,Легко ломается.,很容易折断。,簡単に壊れる。,쉽게 부러집니다.,Quebra com facilidade.,Se rompe fácilmente.,Sie geht leicht kaputt.,Elle se casse facilement.,,,
perk_double_hp,"Double HP, no regeneration",,Двойные ОЗ без восстановления,双倍生命值，没有再生,ダブルHP、再生無し,"체력 2배, 재생 불가","Dobro de PV, sem regeneração","PS dobles, sin regeneración","Doppelte LP, keine Regeneration","Doubles PV, pas de régénération",,,
perkdesc_double_hp,"Your maximum HP is doubled, but you take 20% more damage from projectiles.",,"Максимум ОЗ удваивается, но вы получаете на 20% больше урона от снарядов.",你的最大生命值变为两倍，但投射物额外对你造成 20% 伤害。,あなたの最大HPは2倍になっているが、放射物によるダメージが20%増になる。,최대 체력이 2배가 되지만 발사체로부터 대미지를 20% 더 받습니다.,"Seu PV máximo é dobrado, mas você recebe 20% de dano a mais de projéteis.","Tus PS máximos se doblan, pero recibes un 20 % más de daño de proyectiles.","Deine maximalen LP werden verdoppelt, aber du erhältst 20 % mehr Schaden durch Projektile.","Vos PV maximum sont doublés, mais les projectiles vous infligent 20 % de dégâts supplémentaires.",,,
perk_gas_fire,Perma-burn,,Постоянный ожог,以身为炬,ペルマ・バーン,영구 화상,Sempre em chamas,En llamas,Dauerbrenner,Permabrûlure,,,
perkdesc_gas_fire,"You take very little damage from fire, but you're constantly on fire and emit flammable gas.",,"Вы получаете очень мало урона от огня, но постоянно горите и выделяете горючий газ.",你只会从火焰受到极低的伤害，但你会经常着火，并且散发易燃的气体。,火から受けるダメージは少なくなるが、あなたには絶えず火が点いている状態になり、引火性のガスを放出する。,"화염 대미지를 적게 받지만, 지속적으로 몸에 불이 붙고 인화성 가스를 배출합니다.","Você recebe muito pouco dano de fogo, mas fica constantemente em chamas e emite gás inflamável.","Recibes un daño insignificante del fuego, pero estás ardiendo constantemente y emites gas inflamable.","Du erhältst sehr wenig Schaden durch Feuer, aber du stehst dauerhaft in Flammen und verbreitest entzündliches Gas.","Le feu vous inflige très peu de dégâts, mais vous êtes constamment en feu et vous émettez du gaz inflammable.",,,
perk_spell_duplication,Spell duplication,,Дублирование заклинаний,法术复制,呪文重複,주문 복제,Duplicação de feitiço,Duplicación de hechizo,Zauberduplizierung,Duplication de sort,,,
perkdesc_spell_duplication,There's a chance that your spell duplicates as you cast it. The duplicate has high spread.,,Появляется вероятность дублирования наложенного заклинания. У дубликатов большой разброс.,你的法术有一定几率在施放时复制。复制品的散射度较高。,あなたが呪文を詠唱する時に、その呪文が重複する可能性がある。重複した呪文は広範囲に広がる。,주문 시전 시 일정 확률로 주문이 복제됩니다. 복제된 주문은 확산 수치가 높습니다.,Há uma chance de seu feitiço duplicar ao lança-lo. A cópia tem uma dispersão maior.,Tienes una probabilidad de que tus hechizos se dupliquen al lanzarlos. El duplicado tiene gran dispersión.,"Es besteht eine Chance, dass dein Zauber sich bei der Beschwörung dupliziert. Das Duplikat hat eine größere Streuung.",Il y a des chances que votre sort se dédouble au lancement. Le double dispose d'une grande dispersion.,,,
perk_faster_wands,Fast wands with smaller capacities,,Быстрые жезлы с меньшей емкостью,低容高速,容量が少ない素早い杖,저용량 고속 완드,Varinhas rápidas com capacidades menores,Varitas rápidas de capacidad reducida,Schnelle Zauberstäbe mit geringer Kapazität,Baguettes rapides aux capacités réduites,,,
perkdesc_faster_wands,"+40% to your wands' firerates, but their capacities are reduced by 2.",,"Скорострельность жезлов увеличена на 40%, однако емкость уменьшена на 2.",魔杖射速 +40%，但容量减半。,杖の発射率が40%増になるが、容量が2減少する。,"완드의 발사 속도가 40% 증가하지만, 용량은 2 감소합니다.","A taxa de disparo das varinhas aumenta em 40%, mas suas capacidades são reduzidas em 2.","Otorga +40 % de velocidad de ataque a las varitas, pero su capacidad se reduce en 2.","+40 % auf die Feuerraten deiner Zauberstäbe, aber ihre Kapazität wird um 2 reduziert.","+40 % à la cadence de tir de vos baguettes, mais leurs capacités sont réduites par 2.",,,
perk_bounce,Bouncing shots,,Скачущий выстрелы,弹跳魔弹,バウンドショット,바운스 사격,Lançamentos ricocheteantes,Disparos rebotadores,Umherspringende Schüsse,Tirs à rebonds,,,
perkdesc_bounce,All your spells bounce around.,,Все заклинания отскакивают.,你的所有法术能够弹跳。,全ての呪文がバウンドする,모든 주문이 튕깁니다.,Todos os seus feitiços ricocheteiam por todo lado.,Todos tus hechizos rebotan.,Alle deine Zauber springen umher.,Tous vos sorts rebondissent.,,,
perk_berserk,Berserk,,Неистовство,狂暴,バーサーク,버서커,Fúria,Berserker,Berserker,Berserker,,,
perkdesc_berserk,"The less HP you have, the more damage your spells deal, up to +300% extra damage.",,"Чем меньше у вас ОЗ, тем больше урона наносят ваши заклинания, вплоть до +300%.",你的生命值越低，你法术可造成的伤害越高，最多可造成 +300% 的额外伤害。,HPが少ないほど、あなたの呪文が与えるダメージが増え、最大で300%増の追加ダメージになる。,체력이 적을수록 주문이 가하는 대미지가 증가하며 최대 300%까지 증가합니다.,"Quanto menos PV você tiver, mais dano seus feitiços causarão, até +300% de dano extra.","Cuantos menos PS tengas, más daño hacen tus hechizos, hasta un máximo de un 300 % adicional.","Je weniger LP du hast, desto mehr Schaden fügen deine Zauber zu, bis zu +300 % zusätzlichem Schaden.","Moins vous avez de PV, plus vos sorts infligent de dégâts, jusqu'à 300 % de dégâts supplémentaires.",,,
perk_shuffle_wands,Shuffle wands,,Случайные жезлы,乱序魔杖,シャッフル杖,완드 섞기,Trocar varinhas,Varitas aleatorias,Zufallszauberstäbe,Mélanger les baguettes,,,
perkdesc_shuffle_wands,All your wands are replaced with random wands of approximately equal power.,,Все ваши жезлы заменяются случайными примерно такой же силы.,你的所有魔杖被替换为强度近似的随机魔杖。,あなたの杖が、大体同じパワーのランダムな杖と入れ替えられる。,모든 완드가 동일한 위력의 무작위 완드로 교체됩니다.,Todas as suas varinhas são substituídas por aleatórias de poder quase igual.,Todas tus varitas se sustituyen por varitas aleatorias de potencia similar.,Alle deine Zauberstäbe werden durch zufällige Zauberstäbe in ungefähr ähnlicher Stärke ersetzt.,Toutes vos baguettes sont remplacées par des baguettes aléatoires de puissance similaire.,,,
perk_always_cast,Permanent extra spells,,Постоянные дополнительные заклинания,永久额外法术,永久追加呪文,영구 추가 주문,Feitiços extras permanentes,Hechizos permanentes adicionales,Dauerhafte zusätzliche Zauber,Sorts supplémentaires permanents,,,
perkdesc_always_cast,All your wands gain a random extra spell that can't be removed.,,"Все ваши жезлы получают случайное дополнительное заклинание, которое нельзя удалить.",你的所有魔杖获得一个无法移除的额外随机法术。,あなたの全ての杖が、ランダムな追加の呪文を獲得し、それを取り除くことができなくなる。,모든 완드에 제거할 수 없는 무작위 추가 주문이 붙습니다.,Todas as suas varinhas ganham um feitiço extra irremovível.,Todas tus varitas ganan un hechizo aleatorio adicional que no puede eliminarse.,"Alle deine Zauberstäbe erhalten einen zufälligen zusätzlichen Zauber, der nicht entfernt werden kann.",Toutes vos baguettes gagnent un sort supplémentaire aléatoire qui ne peut pas être retiré.,,,
perk_heavy_ammo,Heavy ammo,,Тяжелые боеприпасы,强大火力,重厚攻撃,중화기,Munição pesada,Munición pesada,Schwere Munition,Munitions lourdes,,,
perkdesc_heavy_ammo,You immediately gain a selection of 2 powerful spells.,,Вы немедленно получаете выбор из двух мощных заклинаний.,立即获得 2 种强大法术。,瞬時に2種類の強力な呪文を獲得する。,즉시 지정된 2개의 주문이 추가됩니다.,Você imediatamente ganha dois feitiços poderosos.,Ganas al instante una selección de 2 hechizos poderosos.,Du erhältst sofort eine Auswahl aus 2 mächtigen Zaubern.,Vous gagnez immédiatement 2 sorts puissants à choisir.,,,
perk_liquid_movement,Liquid movement,,Движение в жидкости,液体移动,液体移動,유체 이동,Movimento líquido,Movimiento líquido,Flüssige Bewegungen,Mouvement liquide,,,
perkdesc_liquid_movement,Liquids don't affect your movement at all.,,Жидкости никак не влияют на ваше перемещение.,液体完全无法影响你的移动。,液体はあなたの移動に全く影響を与えない。,액체가 이동에 영향을 주지 않습니다.,Os líquidos não afetam o seu movimento.,Los líquidos no afectan a tu movimiento.,Flüssigkeiten beeinflussen deine Bewegungen nicht.,Les liquides n'affectent pas du tout vos déplacements.,,,
perk_faster_swimming,Faster swimming,,Быстрое плавание,更快游泳,高速水泳,빠른 수영,Nado mais rápido,Natación veloz,Schnelleres Schwimmen,Nage accélérée,,,
perkdesc_faster_swimming,You swim faster.,,Вы плаваете быстрее.,你的游泳速度变快了。,水泳速度が速くなる。,더 빨리 수영합니다.,Você nada mais rápido.,Nadas más rápido.,Du schwimmst schneller.,Vous nagez plus vite.,,,
